,id,text_matches
0,3598340,study site
1,5934950,
2,4328319,
3,2964116,
4,3371935,
5,3606187,
6,6250829,
7,4468340,
8,5197960,
9,5110345,
10,6220235,
11,5666466,
12,2874337,
13,2954862,
14,3833192,
15,5349540,
16,5117085,
17,4934116,
18,3273211,
19,2020499,
20,3076305,
21,5260390,
22,2736999,
23,1986783,
24,4994148,
25,5259684,
26,3317070,
27,3271253,
28,2829493,
29,4867163,
30,4468327,
31,6392415,
32,6333819,
33,5218665,
34,6362006,
35,3929705,
36,5268247,
37,3929995,
38,6004594,
39,6316841,
40,3903371,
41,5199958,
42,2932693,
43,5911839,
44,5472611,
45,6102329,
46,6240963,
47,1828738,
48,4766080,
49,4600711,
50,4632314,
51,3920809,
52,6028737,
53,5233012,
54,3771895,
55,5193649,
56,4506785,
57,3322909,
58,4773933,study site
59,5381378,
60,5332920,
61,5106554,
62,6399451,
63,3996680,
64,3386215,
65,3060809,
66,6020797,
67,6169096,study site
68,2983705,
69,3019363,
70,6165733,
71,4977594,
72,2743658,
73,546282,
74,2972574,
75,1196496,
76,4932613,
77,2440966,
78,3744526,
79,4954831,
80,5645649,fieldwork
81,5336354,study site
82,4627185,
83,6132481,
84,3794985,
85,3244389,
86,3317236,
87,3896759,
88,6194273,field work
89,6194273,study site
90,4613407,
91,5683482,
92,4992883,
93,2670317,
94,3051902,
95,3054264,
96,4489873,
97,2589648,
98,5664299,
99,5359753,
100,4897613,
101,5162298,
102,5305531,
103,3655046,
104,4898597,
105,6339764,
106,2559846,
107,4961437,
108,5229063,
109,3542005,
110,5279298,
111,4628608,
112,4897029,
113,5898348,
114,1764882,
115,2965904,study site
116,4759741,
117,4353912,
118,5353881,
119,5518595,
120,5299470,
121,5443927,
122,5401470,
123,4854342,
124,4853066,
125,2141198,
126,4926804,
127,5003145,
128,6195009,
129,3216380,
130,4165375,
131,6358801,
132,5250116,
133,4537035,study site
134,5459583,
135,6324495,
136,5108471,
137,5918261,
138,5748849,
139,2964952,
140,5796065,
141,5721914,
142,5950532,
143,3323374,
144,5924382,
145,3379366,
146,3547065,
147,3327005,
148,4872408,
149,5312273,
150,6138923,
151,5477934,
152,6029274,
153,4289295,
154,3260172,
155,6034433,
156,5954649,
157,4519814,
158,5897648,
159,6195012,
160,2873737,
161,3859767,study site
162,3665817,
163,5232824,
164,4756628,
165,6365980,
166,3414485,
167,2983035,
168,6158753,
169,5109891,
170,3232201,
171,5212432,
172,6406377,
173,6404936,
174,3196643,
175,5772560,
176,6220552,
177,5782235,
178,5587323,
179,5857133,
180,3342446,
181,5870987,
182,5019621,
183,4648203,
184,2596469,
185,2213623,
186,5605978,
187,6100353,
188,6428750,
189,314459,
190,5240160,
191,5054634,
192,5469231,
193,5908116,
194,3951501,
195,3422236,
196,4893604,
197,2137534,
198,5852610,
199,5232195,
200,2775149,
201,5299649,
202,6037196,
203,3606112,
204,4528317,
205,5983287,
206,4845258,
207,3007410,
208,4020686,
209,4042265,
210,4304018,
211,5815708,
212,3561645,
213,5857580,
214,5201567,
215,5280372,
216,4078480,
217,6367413,
218,3376885,
219,4755244,
220,2836999,
221,5223609,
222,5423582,
223,6089474,
224,4773223,
225,5017189,
226,5594453,
227,4309172,
228,3542373,
229,5974274,
230,6246853,
231,5240367,
232,5361185,
233,4168868,
234,5742818,
235,3403036,
236,3776546,
237,6256883,
238,4995501,
239,4595870,
240,5921013,
241,1626480,
242,2938635,
243,6070869,
244,2799322,
245,4260439,
246,5932943,
247,3977022,
248,5571927,
249,3716689,
250,3479125,
251,5992404,
252,5381703,
253,4689778,
254,5329800,
255,5046431,
256,5191564,
257,3560249,
258,4817166,
259,4939201,
260,6145150,
261,3990268,
262,4546275,
263,5623547,
264,4903136,
265,4845122,
266,5537357,
267,3574721,
268,3953310,
269,4856002,
270,4974931,
271,2565066,
272,3312332,
273,2267728,
274,4101372,
275,3702557,
276,4472275,
277,5742710,
278,4018435,
279,2173108,
280,5291561,
281,5203842,
282,4236290,
283,5378380,
284,6172941,
285,5265484,
286,5036494,
287,3150756,
288,5600248,fieldwork
289,6348884,
290,2385437,
291,3283606,
292,3255448,
293,4247712,
294,4634747,
295,2588593,
296,5471874,
297,3013074,
298,3287752,
299,5092194,
300,3441370,
301,2440797,
302,6352154,
303,5307000,
304,5833955,
305,6203410,
306,5195771,
307,4686958,
308,2106838,
309,5855163,
310,4535160,
311,4176129,
312,5540699,
313,5388654,
314,4410738,
315,324410,
316,6024572,
317,3847614,
318,4983155,
319,3605169,
320,5071589,
321,3661135,
322,6027968,
323,6041951,
324,4384611,
325,3636095,
326,4743629,
327,6266619,
328,5145035,
329,3333585,
330,4014380,
331,5150320,
332,6256033,
333,2699388,
334,3834493,
335,4659784,
336,3544601,
337,3767949,
338,2960146,
339,3504882,
340,6182651,
341,5422494,
342,3336286,
343,3021716,
344,3991799,
345,5092664,
346,3810770,
347,2837391,
348,5208257,
349,3745659,
350,2928297,
351,4171744,
352,5435762,
353,5748958,
354,3444117,
355,5543279,
356,4221397,
357,3521329,
358,6262153,
359,5564460,
360,4058875,
361,4441134,
362,5296311,
363,6213651,
364,6333029,
365,5602878,
366,5326488,
367,3384090,
368,6356239,
369,5850404,
370,4820627,
371,6079187,
372,4789053,
373,4072049,
374,5715784,
375,4518696,
376,5047329,
377,2844410,
378,5271778,
379,3673452,
380,5190871,
381,5429013,
382,5837433,
383,3319802,
384,3708811,
385,5476854,
386,5482068,
387,3019030,
388,3400596,
389,5065142,
390,5474373,study site
391,5074992,
392,5383938,
393,3231372,
394,2361351,
395,4347597,
396,1976758,
397,5391163,
398,5739111,
399,5879172,
400,4381983,
401,5403278,
402,3083415,
403,3569714,
404,3714292,
405,5217256,
406,3487811,
407,4120137,
408,2806396,
409,3986083,
410,4568385,
411,4262887,
412,5097651,
413,5974918,
414,5970175,
415,3064993,
416,6160602,
417,3592621,
418,4155701,
419,4132451,
420,5602276,
421,3458411,
422,4236557,
423,2222675,
424,4108954,
425,4606092,
426,5872736,
